old_url,new_url,http_code,notes
/,/,200,home keep
/about-us,/about-us/,200,keep wix path
/contact-us,/contact-us/,200,keep wix path
/day-tours,/day-tours/,200,keep listing
/destinations,/destinations/,200,keep listing
/book-online,/book-online/,200,keep booking page slug
/2-day-tours,/2-day-tours/,200,duration listing
/long-tours,/4-6-day-tours/,301,long tours to 4-6 day listing
/tailor-made-tours,/tailor-made-tours/,200,keep
/bolaven-plateau-1,/destinations/bolaven-plateau/,301,old destination
/4000-islands,/destinations/4000-islands/,301,old destination
/champasak,/destinations/champasak/,301,old destination
/pakse-city,/destinations/pakse/,301,old destination
/bolaven-plateau-classic-full-day-tour,/tours/bolaven-plateau-classic-full-day-tour/,301,tour root to nested
/bolaven-plateau-classic-2-day,/tours/bolaven-plateau-classic-2-day/,301,tour root to nested
/4000islands-vatphu-temple-2-day-1-night,/tours/4000islands-vatphu-temple-2-day-1-night/,301,tour root to nested
/3-day-classic-experience-in-southern-laos,/tours/3-day-classic-experience-in-southern-laos/,301,tour root to nested
/4-day-southern-laos-escape,/tours/4-day-southern-laos-escape/,301,tour root to nested
/5-day-exploring-southern-laos,/tours/5-day-exploring-southern-laos/,301,tour root to nested
/6-day-journey-to-the-heart-of-southern-laos,/tours/6-day-journey-to-the-heart-of-southern-laos/,301,tour root to nested
/vatphu-riverside-gems-full-day,/tours/vatphu-riverside-gems-full-day/,301,tour root to nested
/4000islands-full-day,/tours/4000islands-full-day/,301,tour root to nested
/pakse-cultural-riverside-exploration-full-day,/tours/pakse-cultural-riverside-exploration-full-day/,301,tour root to nested
/dan-sinxai-eco-adventure-trek-full-day,/tours/dan-sinxai-eco-adventure-trek-full-day/,301,tour root to nested
/champasak-cycling-experience,/tours/champasak-cycling-experience/,301,tour root to nested
/full-day-trekking-at-dan-yai-tiger-falls,/tours/full-day-trekking-at-dan-yai-tiger-falls/,301,tour root to nested
/vatphu-champasak-discovery-2days-1night,/tours/vatphu-champasak-discovery-2days-1night/,301,tour root to nested
/3-day-highlights-of-southern-laos,/tours/3-day-highlights-of-southern-laos/,301,tour root to nested
/explore-vatphu-bolaven-plateau-full-day,/tours/vatphu-riverside-gems-full-day/,301,retired package to closest
/bolaven-plateau-half-day,/tours/bolaven-plateau-classic-full-day-tour/,301,retired half-day to 1.1
/vatphu-temple-half-day,/tours/vatphu-riverside-gems-full-day/,301,retired half-day to 1.2
/pakse-half-day-city-tours,/tours/pakse-cultural-riverside-exploration-full-day/,301,retired half-day to 1.4
/mystic-mountain-full-day-tour,/tours/dan-sinxai-eco-adventure-trek-full-day/,301,retired to closest trek
/mystic-mountain-trail-2-day1-night,/tours/bolaven-plateau-classic-2-day/,301,retired to closest overnight
/3-days-in-southern-laos-with-cycling-escape,/tours/3-day-classic-experience-in-southern-laos/,301,retired to flagship 3-day
/traditional-bamboo-weaving-class,/tailor-made-tours/,301,retired activity to tailor-made
/traditional-lao-cotton-weaving-class,/tailor-made-tours/,301,retired activity to tailor-made
/en/,/,301,remove language prefix default EN
/en/about-us/,/about-us/,301,remove language prefix
/en/contact/,/contact-us/,301,old contact path
/en/contact-us/,/contact-us/,301,remove language prefix
/en/day-tours/,/day-tours/,301,remove language prefix
/en/destinations/,/destinations/,301,remove language prefix
/en/booking-request/,/book-online/,301,old booking slug
/booking-request/,/book-online/,301,prefer wix book-online
/product-page/i-m-a-product,,410,dummy wix store
/product-page/i-m-a-product-1,,410,dummy wix store
/product-page/i-m-a-product-2,,410,dummy wix store
/product-page/i-m-a-product-3,,410,dummy wix store
/product-page/i-m-a-product-4,,410,dummy wix store
/product-page/i-m-a-product-5,,410,dummy wix store
/product-page/i-m-a-product-6,,410,dummy wix store
/product-page/i-m-a-product-7,,410,dummy wix store
/product-page/i-m-a-product-8,,410,dummy wix store
/product-page/i-m-a-product-9,,410,dummy wix store
/product-page/i-m-a-product-10,,410,dummy wix store
/product-page/i-m-a-product-11,,410,dummy wix store
/category/all-products,,410,dummy wix store
